URL_citacion,Title,Citation_URL,Authors,Year,Number_of_Citations
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Constraining ministerial power: The impact of veto players on labor market reforms in industrial...,"https://scholar.google.com/scholar?cluster=7836576354457967207&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Comparative welfare state politics,https://books.google.com/books?hl=en&lr=&id=6QJaAQAAQBAJ&oi=fnd&pg=PR11&ots=Ah8NOyhQyx&sig=yIJQkbLmu6SY9KrmV8FF4sUIma0,K Van Kersbergen,,284
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",The power to dismiss: Trade unions and the regulation of job security in Western Europe,https://books.google.com/books?hl=en&lr=&id=0repBAAAQBAJ&oi=fnd&pg=PP1&ots=As-YYwvCYq&sig=ZwL3nG742qBB7K1oHNxQyuF1w7I,P Emmenegger,,194
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0","Coalition government, legislative institutions, and public policy in parliamentary democracies",https://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12453,"LW Martin, G Vanberg",,66
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Coalition dynamics: advances in the study of the coalition life cycle,https://www.tandfonline.com/doi/abs/10.1080/01402382.2023.2249316,"WC Müller, H Bäck, J Hellström",,5
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0","Ideologues, partisans, and loyalists: Cabinet ministers and social welfare reform in parliamentary democracies",https://journals.sagepub.com/doi/abs/10.1177/0010414015574880,D Alexiadou,,103
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Coalition bargaining time and governments' policy‐making productivity,https://ejpr.onlinelibrary.wiley.com/doi/abs/10.1111/1475-6765.12651,"H Bäck, ME Bergman, WC Müller",,2
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0","Ministerial autonomy, parliamentary scrutiny and government reform output in parliamentary democracies",https://journals.sagepub.com/doi/abs/10.1177/00104140211024312,"H Bäck, WC Müller, M Angelova…",,21
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Government responses to fiscal austerity: The effect of institutional fragmentation and partisanship,https://journals.sagepub.com/doi/abs/10.1177/0010414013488536,"C Jensen, PB Mortensen",,82
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0","Comparative public policy analysis: Shortcomings, pitfalls, and avenues for the future",https://link.springer.com/article/10.1007/s11615-022-00390-x,"G Wenzelburger, C Jensen",,13
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0","The partisan politics of employment protection legislation: Social democrats, Christian democrats, and the conditioning effect of unemployment",https://www.cambridge.org/core/journals/european-political-science-review/article/partisan-politics-of-employment-protection-legislation-social-democrats-christian-democrats-and-the-conditioning-effect-of-unemployment/5E59E76E936853A3A7E086A30AAD6831,"R Zohlnhöfer, L Voigt",,16
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",,,,,0
"https://scholar.google.com/scholar?cites=7836576354457967207&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Constraining ministerial power: The impact of veto players on labor market reforms in industrial...,"https://scholar.google.com/scholar?cluster=7836576354457967207&hl=en&as_sdt=20000005&sciodt=0,21",,,0
