URL_citacion,Title,Citation_URL,Authors,Year,Number_of_Citations
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",The Effect of Ministerial Instability on Government's Mandate Fulfilment: Evidence from the...,"https://scholar.google.com/scholar?cluster=4439770490997593010&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Acting on three arenas: A multidimensional approach to understanding ministerial turnover,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-9477.12294,"PH Nielsen, ME Hansen",,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",The Impact of Cabinet Reshuffles on Government Survival: Evidence from Five West European Countries (1960-2014),https://www.wgalil.ac.il/wp-content/uploads/2023/05/GIANNETTI-et-al-The-Impact-of-Cabinet-Reshuffles.pdf,"D Giannetti, A Pedrazzani, L Pinto",,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",,,EARG Araújo,2023,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",,,,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",The Effect of Ministerial Instability on Government's Mandate Fulfilment: Evidence from the...,"https://scholar.google.com/scholar?cluster=4439770490997593010&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",,,,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=20",The Effect of Ministerial Instability on Government's Mandate Fulfilment: Evidence from the...,"https://scholar.google.com/scholar?cluster=4439770490997593010&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=20",,,,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=30",The Effect of Ministerial Instability on Government's Mandate Fulfilment: Evidence from the...,"https://scholar.google.com/scholar?cluster=4439770490997593010&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=30",,,,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=40",The Effect of Ministerial Instability on Government's Mandate Fulfilment: Evidence from the...,"https://scholar.google.com/scholar?cluster=4439770490997593010&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=4439770490997593010&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=40",,,,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Party Leaders vs. Technocrats: The Role of Party Credentials in the Selection and Survival...,"https://scholar.google.com/scholar?cluster=6765792630923395830&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",Introduction: The survival of prime ministers in Central and Eastern European party governments,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003404699-1/introduction-florian-grotz-marko-kukec,"F Grotz, M Kukec",,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=0",,,,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",Party Leaders vs. Technocrats: The Role of Party Credentials in the Selection and Survival...,"https://scholar.google.com/scholar?cluster=6765792630923395830&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=10",,,,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=20",Party Leaders vs. Technocrats: The Role of Party Credentials in the Selection and Survival...,"https://scholar.google.com/scholar?cluster=6765792630923395830&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=20",,,,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=30",Party Leaders vs. Technocrats: The Role of Party Credentials in the Selection and Survival...,"https://scholar.google.com/scholar?cluster=6765792630923395830&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=30",,,,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=40",Party Leaders vs. Technocrats: The Role of Party Credentials in the Selection and Survival...,"https://scholar.google.com/scholar?cluster=6765792630923395830&hl=en&as_sdt=20000005&sciodt=0,21",,,0
"https://scholar.google.com/scholar?cites=6765792630923395830&as_sdt=20000005&sciodt=0,21&hl=en&oe=ASCII&start=40",,,,,0
"https://scholar.google.com/scholar?q=related:i_tjQmvY9RwJ:scholar.google.com/&scioq=Ministerial+Replacement&hl=en&oe=ASCII&as_sdt=0,21&start=0",Staying Alive: A Framework of Inter-Party and Intra-Party Threats to Prime Ministerial Survival,http://www.ronilehrer.com/docs/papers/staying_alive.pdf,R Lehrer,,0
